dataset,method,depth,n_trials,tune_val,test_acc,test_std,val_acc,num_seeds,params
citeseer,AllSetformerII,16,30,75.00,73.49,1.20,75.00,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.7, 'MLP_hidden': 128, 'restart_alpha': 0.4, 'lamda': 0.5, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
citeseer,AllSetformerII,2,30,73.87,71.88,1.52,73.87,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.30000000000000004, 'MLP_hidden': 128, 'restart_alpha': 0.3, 'lamda': 1.0, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
citeseer,AllSetformerII,32,32,75.00,73.39,1.07,75.00,10,"{'lr': 0.001, 'wd': 1e-05, 'dropout': 0.4, 'MLP_hidden': 256, 'restart_alpha': 0.45, 'lamda': 1.5, 'heads': 1, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'ln'}"
citeseer,AllSetformerII,4,30,74.76,73.08,1.11,74.76,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.6000000000000001, 'MLP_hidden': 128, 'restart_alpha': 0.5, 'lamda': 1.0, 'heads': 1, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
citeseer,AllSetformerII,64,32,74.56,72.31,1.76,74.56,10,"{'lr': 0.05, 'wd': 0.0001, 'dropout': 0.5, 'MLP_hidden': 64, 'restart_alpha': 0.4, 'lamda': 2.0, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'ln'}"
citeseer,AllSetformerII,8,30,75.36,73.67,0.98,75.36,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.5, 'MLP_hidden': 128, 'restart_alpha': 0.45, 'lamda': 0.5, 'heads': 1, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
citeseer,AllSetformer,16,30,21.18,20.07,2.21,21.18,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 512, 'heads': 4, 'MLP_num_layers': 1, 'decoder_num_layers': 2, 'normalization': 'ln'}"
citeseer,AllSetformer,2,30,72.26,71.04,0.98,72.26,10,"{'lr': 0.001, 'wd': 0.0001, 'dropout': 0.4, 'MLP_hidden': 128, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
citeseer,AllSetformer,32,32,21.18,20.72,1.20,21.18,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'heads': 1, 'MLP_num_layers': 2, 'decoder_num_layers': 2, 'normalization': 'ln'}"
citeseer,AllSetformer,4,30,70.65,67.52,1.77,70.65,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.1, 'MLP_hidden': 128, 'heads': 1, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'ln'}"
citeseer,AllSetformer,64,32,21.22,19.84,2.11,21.22,10,"{'lr': 0.001, 'wd': 1e-05, 'dropout': 0.7, 'MLP_hidden': 64, 'heads': 1, 'MLP_num_layers': 1, 'decoder_num_layers': 2, 'normalization': 'ln'}"
citeseer,AllSetformer,8,30,67.31,64.42,2.66,67.31,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.0, 'MLP_hidden': 64, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 2, 'normalization': 'ln'}"
citeseer,HGNNII,16,30,75.64,73.96,1.01,75.64,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.7, 'MLP_hidden': 256, 'restart_alpha': 0.3, 'lamda': 1.5}"
citeseer,HGNNII,2,60,75.28,74.40,0.94,75.28,10,"{'lr': 0.005, 'wd': 1e-05, 'dropout': 0.7, 'MLP_hidden': 256, 'restart_alpha': 0.3, 'lamda': 0.5}"
citeseer,HGNNII,32,32,75.56,73.86,1.36,75.56,10,"{'lr': 0.005, 'wd': 0.0001, 'dropout': 0.4, 'MLP_hidden': 128, 'restart_alpha': 0.5, 'lamda': 1.5}"
citeseer,HGNNII,4,30,75.24,73.56,1.52,75.24,10,"{'lr': 0.005, 'wd': 0.0, 'dropout': 0.7, 'MLP_hidden': 64, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5}"
citeseer,HGNNII,64,32,75.76,73.93,0.87,75.76,10,"{'lr': 0.005, 'wd': 0.0001, 'dropout': 0.2, 'MLP_hidden': 256, 'restart_alpha': 0.45, 'lamda': 1.0}"
