family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
HNHN,random,0,0,base,4181552.1175317173,759956.1414511778,260.3025102143067,1039487.9999999999,1039308.02072581,4.0227035978594445,0.7310869788310955,0.00025045752079592553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,random,0,0,restart,4181552.1175317173,759956.1414511778,260.3025102143067,1039487.9999999999,1039308.02072581,4.0227035978594445,0.7310869788310955,0.00025045752079592553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,random,0,1,base,4176809.5025335127,759426.7977308821,259.7537923018116,1038843.1896034087,1038787.6905599743,4.020635206867036,0.7310312136914549,0.0002500547461837821,0.9988658242525974,0.9993034549082203,0.9978919991511285,0.9993796846172431,0.9994993494176324,0.9994858206820136,0.9999237229751652,0.9983918446095632,False,1e-24,False
HNHN,random,0,1,restart,4177283.2975531314,759479.6992764921,259.80857487848067,1038907.6331597936,1038839.6988396444,4.020841857565433,0.7310367880988292,0.00025009496187783326,0.9989791302706265,0.9993730662222482,0.9981024565017855,0.9994416800961566,0.999549390674539,0.9995371917794286,0.9999313477961999,0.9985524135312843,False,1e-24,False
HNHN,random,0,2,base,4172087.4846970015,758898.9057123455,259.2090147645074,1038200.0372466116,1038268.455853608,4.018577668097285,0.7309756101772115,0.0002496550996065847,0.9977365742268203,0.9986088200605716,0.9957991359787539,0.9987609642887765,0.9989997528629905,0.9989743391075705,0.9998476670258002,0.9967961785024828,False,1e-24,False
HNHN,random,0,2,restart,4173456.8380768355,759051.9922323597,259.36699483144383,1038386.548975178,1038419.0323656694,4.019174595622193,0.7309917419303015,0.0002497710334146786,0.9980640491311967,0.9988102613170655,0.9964060454811109,0.9989403908223838,0.9991446343697802,0.9991227287441388,0.999869732462003,0.997259066611115,False,1e-24,False
HNHN,random,0,3,base,4167385.856241636,758372.45338131,258.6681286284083,1037558.5295774746,1037750.3087505399,4.016530863023913,0.7309201666822038,0.00024925854171977736,0.9966122002328544,0.9979160796479075,0.9937212223402961,0.9981438261696861,0.998501202777034,0.9984655258123377,0.9997718299549551,0.9952128445880245,False,1e-24,False
HNHN,random,0,3,restart,4170026.185310746,758667.9850894584,258.97208561605936,1037918.6347110433,1038041.134496381,4.017681199520695,0.7309513093968794,0.00024948152535564307,0.9972436234448335,0.9983049596003533,0.9948889290496967,0.9984902516537405,0.9987810291038222,0.99875148685043,0.9998144277792594,0.9961031497988926,False,1e-24,False
HNHN,random,0,4,base,4162704.412251802,757847.4288810634,258.131085648198,1036918.6534172616,1037233.2414921805,4.014494674710715,0.7308648816216267,0.0002488650337477099,0.9954926532660221,0.9972252180683905,0.9916580728924934,0.9975282575818688,0.9980036916946138,0.9979593517272568,0.9996962095948912,0.9936416880469195,False,1e-24,False
HNHN,random,0,4,restart,4166949.8221588046,758323.1724961217,258.6188059277174,1037498.4189324083,1037701.6267483959,4.0163432985725604,0.7309150150575078,0.000249222704543782,0.9965079245786055,0.9978512326356915,0.9935317401080646,0.9980859990037484,0.9984543619933846,0.9984188993466313,0.9997647834271886,0.9950697577448685,False,1e-24,False
