family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
HNHN,real,,0,base,332119.3287985154,37175.397190891556,16.7834144123648,65451.0,53526.002764545025,5.074320160097101,0.5679882231118173,0.00031355628191018085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,real,,0,restart,332119.3287985154,37175.397190891556,16.7834144123648,65451.0,53526.002764545025,5.074320160097101,0.5679882231118173,0.00031355628191018085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,real,,1,base,331433.32316524885,37135.54974405376,16.728510462502438,65395.200968465826,53492.46345113829,5.0681597159563605,0.5678635311780885,0.00031272649235499856,0.9979344603767921,0.9989281231715378,0.9967286781751685,0.9991474686172225,0.9993734014932094,0.9987859567495988,0.9997804673958808,0.9973536184632398,False,1e-24,False
HNHN,real,,1,restart,331501.8206306653,37139.52997509051,16.733989437737602,65400.77582179063,53495.81490609134,5.068775048387323,0.5678759847787025,0.00031280931914231245,0.9981407039148128,0.9990351894394868,0.9970551299388292,0.9992326446011617,0.9994360150787557,0.9989072207636044,0.9998023932036832,0.9976177713190184,False,1e-24,False
HNHN,real,,2,base,330751.8708580863,37095.89110001252,16.67411065754565,65339.631052800956,53459.03369271056,5.062040686927137,0.5677395250370382,0.0003119044529197927,0.9958826306635749,0.9978613250459497,0.9934873946305812,0.9982984378053957,0.998748849748242,0.9975800752056352,0.999562142198272,0.9947319537649661,False,1e-24,False
HNHN,real,,2,restart,330949.4853672034,37107.39075082681,16.689885911439383,65355.746595799916,53468.728169124384,5.063816153979516,0.5677754854568752,0.0003121429381796478,0.9964776412274949,0.9981706600277721,0.994427325773681,0.9985446608271824,0.9989299668859529,0.9979299678013648,0.9996254541092832,0.9954925357517223,False,1e-24,False
HNHN,real,,3,base,330074.92155489046,37056.41928518132,16.620208263403295,65284.28801464709,53425.71248435204,5.055962645726263,0.567616196976329,0.00031109006301546695,0.9938443593421051,0.9967995525347235,0.9902757481313657,0.9974528733655268,0.9981263259908619,0.9963822711631015,0.9993450108288336,0.9921346851044103,False,1e-24,False
HNHN,real,,3,restart,330455.290724544,37078.585171987266,16.650513963430665,65315.36724088175,53444.420179129265,5.0593804288940385,0.567685473393148,0.00031154821976968333,0.9949896379714145,0.9973958040473067,0.9920814414952286,0.9979277205983369,0.9984758326569867,0.9970558162016374,0.9994669788802827,0.9935958478386578,False,1e-24,False
HNHN,real,,4,base,329402.42561561713,37017.13235320601,16.566796648926573,65229.16964560612,53392.49883456946,5.049925170062408,0.567493539383105,0.0003102832234965607,0.9918194969478983,0.995742753281885,0.987093343576225,0.9966107415563722,0.9975058116974878,0.9951924614007354,0.9991290598843721,0.9895614962848751,False,1e-24,False
HNHN,real,,4,restart,330012.9927559456,37052.761926693434,16.615352361030794,65279.151357923816,53422.6028062272,5.055411810525743,0.5676048348657927,0.00031101727524017285,0.9936578938353582,0.9967011713804051,0.9899864206886181,0.9973743924145363,0.9980682294029564,0.9962737176656594,0.9993250066983359,0.9919025488676534,False,1e-24,False
HNHN,real,,5,base,328734.33407207637,36978.02838454497,16.51386928423342,65174.273766785154,53359.391765080974,5.043927842577813,0.5673715447427069,0.00030948383663998764,0.9898078960394004,0.9946908756527033,0.9839397918976011,0.9957720090874876,0.9968872885913609,0.9940105636695367,0.9989142761345793,0.987012075645929,False,1e-24,False
HNHN,real,,5,restart,329617.0418945952,37029.60778983373,16.583939911819776,65246.66462762674,53403.01838710663,5.051860409658837,0.5675325781197811,0.0003105431193346876,0.9924656992624533,0.9960783364247808,0.9881147842957352,0.9968780404826013,0.9977023433268614,0.9955738404890412,0.9991977914796545,0.9903903613184304,False,1e-24,False
HNHN,real,,6,base,328070.59861785773,36939.10548605616,16.4614197390611,65119.59822834889,53326.39031061448,5.037970250790596,0.5672502056374059,0.0003086918061240777,0.9878094111676533,0.9936438687225839,0.9808147099635175,0.9949366431123877,0.9962707386387768,0.9928364966813978,0.9987006465198027,0.9844861159965642,False,1e-24,False
HNHN,real,,6,restart,329262.5012140604,37008.84329090678,16.555868052944213,65217.519004364745,53385.4363902246,5.048681799625407,0.5674678193206019,0.0003101195601723274,0.9913981893351709,0.9955197815606504,0.9864421890665498,0.9964327360065506,0.9973738675211978,0.9949474294757146,0.9990837771453001,0.9890395379199007,False,1e-24,False
HNHN,real,,7,base,327411.17159841664,36900.36179059093,16.409441681146756,65065.140909079346,53293.493518709234,5.032051987037638,0.5671295147451493,0.0003079070370079239,0.9858238988464444,0.9926016822661409,0.9777177204810884,0.99410461122182,0.9956561440453797,0.991670180097849,0.9984881581488373,0.9819833145493313,False,1e-24,False
HNHN,real,,7,restart,328944.97514197533,36990.21891244981,16.53077444477945,65191.36760056727,53369.650467457526,5.045836392901704,0.5674097702489054,0.00030974110379192367,0.9904421291346587,0.9950187948903175,0.9849470458526471,0.9960331790280862,0.9970789468853993,0.9943866830833054,0.9989815759563767,0.9878325572206202,False,1e-24,False
HNHN,real,,8,base,326756.0060013189,36861.79545659434,16.35792887463519,65010.89971594253,53260.700449520606,5.026172648418047,0.5670094648383212,0.00030712943571102483,0.9838512175229338,0.9915642667464477,0.9746484519016498,0.9932758814371442,0.9950434872525143,0.9905115345189153,0.9982767982967431,0.9795033728554129,False,1e-24,False
HNHN,real,,8,restart,328660.54714531143,36973.511747332785,16.508337417621423,65167.900171666864,53355.475843489934,5.043288893451313,0.5673577274998314,0.00030940287115133387,0.9895857261132119,0.9945693803210195,0.9836101887265133,0.9956746294428941,0.9968141293530693,0.993884645496,0.9988899494983687,0.9867538588812687,False,1e-24,False
HNHN,real,,9,base,326105.0554466404,36823.40466771215,16.306875178513568,64956.87258366233,53228.01017562805,5.02033183673718,0.5668900487825181,0.0003063589099932226,0.9818912275487477,0.9905315733044636,0.971606538327496,0.9924504222038216,0.9944327509336385,0.9893604814720859,0.9980665544026905,0.9770459967406427,False,1e-24,False
HNHN,real,,9,restart,328405.72513887647,36958.52255400821,16.488271145236414,65146.83912471019,53342.74700105087,5.041007814826003,0.5673110629858609,0.0003091005257924117,0.988818465721121,0.9941661783525885,0.9824145874089276,0.9953528460177872,0.9965763226463916,0.9934351116563246,0.9988077919604627,0.9857896129823178,False,1e-24,False
HNHN,real,,10,base,325458.2741775198,36785.18763240412,16.256274545072543,64903.05747430105,53195.4217818462,5.014529158451247,0.5667712595353392,0.0003055953689349308,0.9799437911515333,0.9895035537486324,0.968591619420188,0.9916282023850064,0.9938239179907938,0.9882169434013975,0.9978574140678292,0.9746108962424472,False,1e-24,False
HNHN,real,,10,restart,328177.3935618617,36945.07315782198,16.470321439741898,65127.93598467975,53331.315625866075,5.038965055472661,0.5672692155715281,0.0003088302106643263,0.9881309671107847,0.9938043961739833,0.9813450967168971,0.995064032401029,0.9963627558826809,0.9930325435705729,0.9987341154076224,0.9849275185396913,False,1e-24,False
HNHN,real,,11,base,324815.6170508622,36747.14258356365,16.20612101839329,64849.452376847024,53162.93436503904,5.008764224612481,0.5666530901451892,0.00030483872291764896,0.9780087724069679,0.9884801605446508,0.9656033403104078,0.9908091912552448,0.993216971551134,0.9870808436566277,0.9976493650531812,0.9721977855477025,False,1e-24,False
HNHN,real,,11,restart,327972.7712276598,36933.00415402613,16.454262079276752,65110.968261790484,53321.04878006815,5.037135523910282,0.5672316836931417,0.00030858849283226203,0.9875148562239473,0.9934797458754573,0.9803882377565825,0.9948047892589951,0.9961709454491037,0.9926719964421584,0.9986680367868708,0.9841566271686374,False,1e-24,False
HNHN,real,,12,base,324177.0395281902,36709.267778143505,16.156408732860076,64796.05530680852,53130.547033937044,5.003036650814867,0.5665355337500959,0.00030408888360475934,0.9760860372112113,0.9874613468054012,0.9626413515093335,0.9899933584942708,0.9926118949635088,0.9859521064826011,0.9974423952775595,0.9698063829314908,False,1e-24,False
HNHN,real,,12,restart,327789.3741857411,36922.1728744583,16.43989159392933,65095.73667080725,53311.82727694843,5.0354968074697455,0.5671980188376357,0.0003083723149935586,0.9869626539700703,0.9931883897532291,0.9795320064204347,0.9945720717912216,0.9959986646389657,0.99234905338992,0.9986087664461556,0.9834671884580286,False,1e-24,False
