family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
UniGCN,random,0,0,base,196112.89808167427,38141.2209705963,43251.887045598785,85120.0,84847.23942077781,2.3039579191926016,0.44808765238012577,0.5097618654521251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
UniGCN,random,0,0,restart,196112.89808167427,38141.2209705963,43251.887045598785,85120.0,84847.23942077781,2.3039579191926016,0.44808765238012577,0.5097618654521251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
UniGCN,random,0,1,base,32581.733444107595,7480.525988686001,8086.664928970565,24942.403551377563,23255.704236014626,1.306278818598784,0.2999119941779971,0.34772823247585266,0.16613763685516708,0.19612707192705925,0.18696675408509014,0.29302635751148454,0.27408910878860787,0.5669716481004808,0.6693154622425815,0.6821385749744946,False,1e-24,False
UniGCN,random,0,1,restart,41615.47854331926,9276.208355854877,10097.393555641089,28771.646610229847,27053.848895026804,1.4464058698859017,0.3224079762107426,0.373233161566791,0.21220163972074824,0.24320690632861644,0.2334555610254831,0.3380127656277003,0.31885361362035924,0.627791791610838,0.7195198852237833,0.7321716018042225,False,1e-24,False
UniGCN,random,0,2,base,9984.148395005212,2305.5001386513004,2524.2240509048033,11244.753330314557,10462.994498840257,0.8878939450000294,0.20502896514732236,0.24125254497501594,0.0509102078071742,0.06044641676333981,0.05836101551462048,0.13210471487681577,0.12331567379525168,0.38537767448078336,0.4575644163776027,0.47326518777751425,False,1e-24,False
UniGCN,random,0,2,restart,18042.034203310068,4020.12964440937,4402.070399905457,15555.198981822283,14582.385666819391,1.1598716431974858,0.258442829892904,0.30187587274706923,0.0919982029728416,0.10540117862269156,0.1017775338972962,0.18274434894058134,0.17186635377141551,0.5034257064920487,0.5767684704546588,0.5921899875333462,False,1e-24,False
UniGCN,random,0,3,base,4467.287639212618,958.7165453239222,1084.3715367657235,6476.5270753472705,6110.059813005347,0.6897659173258506,0.148029419806373,0.17747314591873942,0.022779162833808854,0.02513596893143543,0.0250710803813603,0.07608701921225647,0.07201247624220387,0.2993830362872131,0.33035817662030853,0.34814912206375515,False,1e-24,False
UniGCN,random,0,3,restart,11537.678440308793,2470.7112564342133,2743.033268676669,10742.120082023392,10155.986778388637,1.0740597156064884,0.23000220045658143,0.2700902756700795,0.05883181857576623,0.06477798018943666,0.06341996745216678,0.12619971900873345,0.11969731540731292,0.4661802659932615,0.5132973408994183,0.5298361724852196,False,1e-24,False
UniGCN,random,0,4,base,2479.019624702051,489.4071697288515,569.8327647902271,4301.944515985675,4109.1662941927825,0.5762556015053696,0.11376417522593665,0.13867357122916504,0.01264077808727106,0.01283144999752744,0.013174749212432616,0.05053976170095953,0.04843017076624546,0.2501155063228379,0.253888217230827,0.27203598508917637,False,1e-24,False
UniGCN,random,0,4,restart,9027.035321376248,1869.6694923629561,2095.0693565643337,8503.930541245069,8103.421796717555,1.061513294069614,0.21985945008544436,0.2585413186085144,0.04602978901273897,0.04901965497654926,0.04843879653980376,0.09990519902778511,0.09550601589440927,0.4607346710748998,0.4906617018291127,0.5071805800522277,False,1e-24,False
UniGCN,random,0,5,base,1563.869124659865,288.11356181785555,342.05283913028495,3112.6828909437504,2999.1437097158214,0.5024183893611173,0.09256116729915295,0.11405016639322549,0.007974330806169452,0.007553863103647549,0.007908391112962815,0.03656817306089932,0.035347569705153854,0.21806751988646764,0.20656933260153892,0.2237322446473522,False,1e-24,False
UniGCN,random,0,5,restart,7846.40034536705,1594.3770489415695,1794.036413711224,7296.880935782421,6990.507002859398,1.0753088085746194,0.21850117371698755,0.25663895522562113,0.04000960886366227,0.04180194048246911,0.0414788009554321,0.08572463505383483,0.08238932757955503,0.46672241694043193,0.4876304280119432,0.5034487132496648,False,1e-24,False
UniGCN,random,0,6,base,1070.2433061072757,187.05961479258852,224.55982847722765,2375.984075537728,2303.100731498243,0.4504421208568329,0.07872932176544725,0.09750325958654187,0.005457281579009435,0.004904395035932275,0.005191908233749037,0.02791334675208797,0.027144085620471565,0.19550796353723582,0.1757007169183472,0.19127217274297856,False,1e-24,False
UniGCN,random,0,6,restart,7215.152958109672,1453.4145454391426,1637.1610649079962,6579.070853163967,6323.1785064139085,1.0966826652489698,0.22091486440523367,0.25891425700655835,0.03679081298928543,0.0381061357883536,0.037851783511364506,0.07729171585014058,0.07452426914039889,0.4759994338929988,0.49301707652909205,0.5079121734163432,False,1e-24,False
UniGCN,random,0,7,base,773.8805097761608,129.88868059393587,156.77036243948592,1879.1389445800337,1829.569187267553,0.4118271892604058,0.06912138188002087,0.08568703688851538,0.003946096954081348,0.003405467294664458,0.003624590119598921,0.022076350382754156,0.021563096215709277,0.17874770447401506,0.15425861773442306,0.16809228523306002,False,1e-24,False
UniGCN,random,0,7,restart,6846.320139666799,1375.149731699867,1548.4284729286685,6121.8881120591495,5894.3678647017105,1.1183347382943236,0.22462836734814542,0.26269627353959324,0.03491009620802984,0.036054161264527755,0.03580025239814902,0.0719206780082137,0.06947035525186773,0.4853972066843272,0.5013045241371361,0.5153313563512621,False,1e-24,False
UniGCN,random,0,8,base,582.0992554096605,94.54029796082432,114.31367241256821,1523.8951880235213,1488.9498607073886,0.381981162473935,0.06203858290506334,0.07677469566252465,0.0029681844544831326,0.0024786909164157852,0.0026429753756651527,0.017902903994637235,0.01754859522680908,0.1657934631930241,0.13845189122157334,0.15060894285301346,False,1e-24,False
UniGCN,random,0,8,restart,6616.562126038631,1328.9015610113472,1495.0458764968582,5815.621659401171,5604.703512016699,1.1377222442492814,0.22850550445679832,0.26674843250698677,0.03373853627558479,0.03484161039406209,0.0345660265625102,0.06832262287830324,0.06605640384151605,0.49381207650180714,0.5099571551303326,0.5232804777783809,False,1e-24,False
UniGCN,random,0,9,base,451.0457490140474,71.2099196685109,86.07055009499646,1259.191280854899,1234.0416776893474,0.3582027257271192,0.05655210669832828,0.06974687455950213,0.0022999290379473276,0.001867006819823828,0.001989983697225872,0.014793130649141202,0.01454427611450549,0.15547277263321183,0.12620768815640893,0.13682246414733526,False,1e-24,False
UniGCN,random,0,9,restart,6466.421426664555,1300.1717647378289,1461.3406600846295,5602.407307139261,5401.561224741969,1.1542219392767574,0.23207376641126992,0.2705404232744649,0.0329729532831212,0.034088362450173076,0.03378674920111566,0.06581775501808343,0.06366219174149358,0.5009735332671539,0.5179204675213746,0.5307192271719138,False,1e-24,False
UniGCN,random,0,10,base,357.7268833919296,55.04795926449119,66.41778289960762,1055.8746316341342,1037.5917309567196,0.3387967403272965,0.05213493876569011,0.06401148054482525,0.0018240864669846891,0.0014432668347698825,0.00153560428079325,0.012404542194949885,0.012228939185764823,0.14704988207684988,0.11634986701544395,0.12557134003747278,False,1e-24,False
UniGCN,random,0,10,restart,6364.626846751184,1281.5759882885568,1439.2159192637387,5449.451276212783,5254.920836101139,1.1679390316843832,0.23517523569441223,0.2738796575918654,0.03245389216623853,0.033600811816605056,0.033275216818781324,0.06402080916603364,0.0619339046499878,0.5069272411423535,0.5248420358053211,0.5372698041053978,False,1e-24,False
UniGCN,random,0,11,base,289.0997729409,43.433570736737984,52.263326766947344,896.0348315525769,882.7172097254103,0.3226434539826663,0.04847308297321411,0.05920732731970307,0.0014741497156423636,0.001138756695026141,0.001208347897326379,0.010526724994743619,0.010403605535682828,0.1400387790484183,0.10817768067416636,0.11614703125583958,False,1e-24,False
UniGCN,random,0,11,restart,6293.577017176691,1269.1212019529694,1424.2233528395398,5337.08059107484,5146.631645431496,1.1792171599771966,0.23779314932499074,0.2767292184401381,0.0320916017189019,0.03327426783037061,0.03292858300813642,0.06270066483875518,0.06065762045489913,0.5118223515082433,0.5306844499327197,0.5428597884518049,False,1e-24,False
UniGCN,random,0,12,base,237.2994911895266,34.84505216155987,41.788661594358516,768.0278225943671,758.3780945599601,0.30897251923496527,0.04536951805190427,0.05510267489807428,0.0012100147084191247,0.0009135798822072973,0.0009661696737139435,0.009022883254163148,0.008938158739602372,0.13410510524569022,0.10125143554149087,0.10809493340425111,False,1e-24,False
UniGCN,random,0,12,restart,6242.8142504267,1260.537837357507,1413.7930533751648,5252.932530553281,5065.193777804412,1.1884436386943573,0.23996840432000313,0.2791192430920176,0.03183275710823866,0.033049226146411946,0.032687430536490994,0.061712083300672946,0.059697802926561946,0.5158269727039264,0.5355389800306993,0.5475483005078405,False,1e-24,False
UniGCN,random,0,13,base,197.34854745040772,28.34666108204287,33.86514607282127,663.9442448667222,657.0449147877894,0.29723662638272097,0.04269433962445609,0.051541599836837544,0.0010063007042413847,0.0007432027701445578,0.0007829749956832765,0.007800096861686116,0.0077438573048834985,0.12901130871647365,0.09528122321084903,0.10110917141894,False,1e-24,False
UniGCN,random,0,13,restart,6205.845954593238,1254.4794380365563,1406.3760575357783,5188.931538254299,5003.035767398993,1.1959776128942834,0.24176064547935777,0.28110453790877715,0.03164425193496818,0.03289038489364709,0.03251594678523715,0.06096019194377701,0.058965215622251876,0.5190969865080702,0.5395387357700836,0.5514428539283848,False,1e-24,False
UniGCN,random,0,14,base,165.97124715126213,23.33590140520265,27.761351494309245,578.2231090898597,573.4083642402611,0.2870366897174099,0.04035795359672506,0.04841462599013832,0.000846304596866142,0.0006118289035160327,0.0006418529546477714,0.00679303464626245,0.006758126347477158,0.12458417201387037,0.09006709598524763,0.09497498591268248,False,1e-24,False
UniGCN,random,0,14,restart,6178.492318220081,1250.1166697459198,1401.0041836615756,5139.627479781115,4955.010718869704,1.202128431005122,0.24323098797797682,0.2827449350061469,0.0315047729071188,0.03277600029400358,0.03239174702792855,0.06038096193351874,0.05839919781357431,0.5217666611838099,0.542820108266757,0.5546608213923001,False,1e-24,False
UniGCN,random,0,15,base,140.94103851236602,19.4101591661841,22.986311284560667,506.84483148237433,503.62222015550714,0.2780753196203152,0.03829605820269491,0.045641972027094066,0.0007186729679231446,0.0005089024072183665,0.0005314522175720817,0.005954474054069248,0.005935634719450609,0.12069461742502824,0.08546555121364346,0.0895358698254383,False,1e-24,False
UniGCN,random,0,15,restart,6157.979731087945,1246.9215391412563,1397.05288870667,5101.238979481672,4917.524945764682,1.2071537436016468,0.2444350370873928,0.2840967568268078,0.03140017709861877,0.03269222923153217,0.0323003915929451,0.05992996921383543,0.057957394717080855,0.5239478262800397,0.5455071921509488,0.5573126906518061,False,1e-24,False
UniGCN,random,0,16,base,120.70267806539825,16.292078165792496,19.20077610576187,446.8372865845283,444.8372664775938,0.2701266919509075,0.036460874360605806,0.0431635961119031,0.000615475469722189,0.00042715145847985116,0.00044392921135485346,0.005249498197656582,0.0052428018815266235,0.11724462920988185,0.08136996002218554,0.08467403907041937,False,1e-24,False
UniGCN,random,0,16,restart,6142.420159617257,1244.5479532741756,1394.1080946841714,5071.080195915597,4888.012021812826,1.2112646462512169,0.24542068064247388,0.28520962887630874,0.03132083723049746,0.03262999771909814,0.032232306840495016,0.05957566019637684,0.05760955872202279,0.5257321048101834,0.5477068590014982,0.5594958120755985,False,1e-24,False
UniGCN,random,0,17,base,104.14415385842126,13.78569692357074,16.164574072462532,395.96068429069464,394.9027574388206,0.263016400340302,0.03481582255638786,0.04093304938486481,0.0005310418380286686,0.0003614382700070971,0.0003737310710957154,0.0046517937534151154,0.0046542793865149,0.1141585087771366,0.07769868768187477,0.08029837490601598,False,1e-24,False
UniGCN,random,0,17,restart,6130.500258803475,1242.763161340697,1391.8886252568748,5047.205033030621,4864.60384196287,1.2146326964495007,0.24622799216747357,0.2861257916318314,0.03126005642041113,0.032583203413932754,0.032180991867232535,0.0592951719106041,0.057333672552835016,0.5271939588528406,0.5495085411516567,0.5612930488200735,False,1e-24,False
UniGCN,random,0,18,base,90.4540703242512,11.74957627586373,13.704136581296789,352.49951992876504,352.1687749818479,0.25660764117503093,0.03333217667427787,0.038913548147484545,0.0004612346827212772,0.0003080545398617855,0.00031684482498645783,0.004141206766080417,0.00415062148616714,0.11137687847395947,0.07438762594154506,0.07633671874017253,False,1e-24,False
UniGCN,random,0,18,restart,6121.289353442418,1241.4070825596089,1390.1995358603326,5028.179283795845,4845.918388112202,1.2173967967230812,0.24688997994965145,0.286880509434643,0.031213089059002698,0.03254764926158578,0.03214193948103811,0.05907165511978201,0.0571134478999385,0.5283936770640782,0.550985903401345,0.5627735789537708,False,1e-24,False
UniGCN,random,0,19,base,79.02973938877908,10.079748752042878,11.691785394403604,315.12122063023065,315.3516903005627,0.2507915500921282,0.03198689295466601,0.037075385209637296,0.0004029808348243669,0.0002642744121855334,0.0002703185038395529,0.0037020820092837246,0.003716699476062598,0.10885248727980915,0.0713853478995904,0.07273079396936426,False,1e-24,False
UniGCN,random,0,19,restart,6114.1173059764105,1240.3674380643645,1388.903196761942,5012.930576127218,4830.918987714175,1.219669255962432,0.24743359582342767,0.28750289547271485,0.03117651804538675,0.032520391495085704,0.032111967630398995,0.05889251146765999,0.05693666665755016,0.5293800055123631,0.5521990943270236,0.5639945138260172,False,1e-24,False
UniGCN,random,0,20,base,69.41637558173444,8.698571495167021,10.032138587448545,282.77774982451444,283.4403840932069,0.2454803308421992,0.030761159605255932,0.03539417510861671,0.0003539612960735755,0.0002280622191374758,0.00023194684146086043,0.0033221070233143144,0.0033405964180821257,0.10654722848767362,0.06864987116217242,0.06943276362429429,False,1e-24,False
UniGCN,random,0,20,restart,6108.494819346503,1239.5641199843928,1387.9008951652402,5000.647071714848,4818.8187013996785,1.2215408789590396,0.24788074467317187,0.2880168317521697,0.03114784840313015,0.032499329817993854,0.032088794038096655,0.058748203380108645,0.05679405404696788,0.5301923567193954,0.5531969991953437,0.5650027027751826,False,1e-24,False
UniGCN,random,0,21,base,61.26593036228306,7.547248906997548,8.652965677026387,254.63568012958547,255.62952873288532,0.240602300239717,0.029639400508038437,0.03384963278662584,0.00031240133087405555,0.00019787643696083686,0.00020005984173370058,0.002991490603026145,0.003012820811590076,0.10442998903557822,0.06614643440987852,0.06640283450117135,False,1e-24,False
UniGCN,random,0,21,restart,6104.06025069936,1238.9391159855475,1387.1208468634431,4990.707555483676,4809.013973410578,1.2230851403008693,0.2482491915648773,0.2884418416192893,0.031125236077829153,0.032482943242448006,0.0320707590260988,0.05863143274769356,0.05667849662805791,0.5308626212797701,0.5540192644145443,0.5658364447553574,False,1e-24,False
UniGCN,random,0,22,base,54.30864588523477,6.580703939469966,7.498902022020767,230.02559965175104,231.27127197239275,0.23609826892074512,0.02860857204342852,0.03242470177150201,0.00027692541600510685,0.00017253521969165956,0.00017337745319909314,0.002702368416961361,0.002725737143025515,0.10247507862621177,0.06384592811577641,0.06360754691358374,False,1e-24,False
UniGCN,random,0,22,restart,6100.543410420162,1238.4498646720524,1386.5102146640004,4982.632239980021,4801.037719272354,1.2243615656540254,0.24855333587232964,0.28879385993954243,0.03110730334462497,0.03247011587874425,0.03205664097851399,0.0585365629696901,0.05658448939585242,0.5314166354579473,0.5546980251566375,0.5665269991967746,False,1e-24,False
UniGCN,random,0,23,base,48.33303473491009,5.763991296573429,6.5270462069769755,208.4049290481835,209.8396962049909,0.23191886562210545,0.027657653410110977,0.031104916395803157,0.000246455155207492,0.00015112235921909748,0.00015090777889287845,0.0024483661777277197,0.0024731470067558183,0.1006610683685486,0.061723757089044234,0.06101852355749513,False,1e-24,False
UniGCN,random,0,23,restart,6097.740489660545,1238.0647822819521,1386.0296908640732,4976.047546789454,4794.525605664065,1.2254184535665875,0.2488048537801355,0.28908588771049043,0.0310930109610692,0.03246001965265865,0.032045531086374014,0.058459205201943774,0.05650773835889771,0.5318753625482981,0.5552593392354117,0.5670998701601391,False,1e-24,False
UniGCN,random,0,24,base,43.17155556345109,5.069745802410524,5.703824500501776,189.3302145299669,190.90431081498315,0.2280225354977241,0.026777267511140394,0.029877924056045523,0.0002201362377780559,0.00013292038569816302,0.00013187458143707013,0.0022242741368652128,0.002249976688908438,0.09896992197567231,0.059758994404122655,0.05861153232705192,False,1e-24,False
UniGCN,random,0,24,restart,6095.496425427956,1237.7601948251854,1385.649755943363,4970.660509108688,4789.1914582214185,1.2262950596320181,0.24901322320383812,0.28932853656637003,0.031081568244886122,0.0324520338711599,0.03203674684719597,0.05839591763520545,0.056444870698393254,0.5322558408800108,0.555724358573918,0.567575874491425,False,1e-24,False
UniGCN,random,0,25,base,38.69021009493068,4.47633957669228,5.002724406386872,172.43622607742049,174.11003543678567,0.22437402496595776,0.025959391935906156,0.028733119224498796,0.00019728539261511263,0.00011736225172610924,0.00011566488188394403,0.002025801528165184,0.0020520412523185607,0.09738633813441668,0.05793373639736908,0.056365768355415166,False,1e-24,False
