family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
HNHN,random,0,0,base,737476.7088915224,67293.03653080623,2992.3414768464336,82560.00000000001,82471.82475423685,8.932615175527157,0.8150803843363157,0.036283197149614504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,random,0,0,restart,737476.7088915224,67293.03653080623,2992.3414768464336,82560.00000000001,82471.82475423685,8.932615175527157,0.8150803843363157,0.036283197149614504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,random,0,1,base,640123.4868998872,61372.12197513858,2291.6140007760873,75875.36945457608,76895.862871292,8.436512289842709,0.8088543412217571,0.029801525273365905,0.8679914622144966,0.9120129680437722,0.7658263665787141,0.9190330602540706,0.9323894930230898,0.9444616301121277,0.9923614366948259,0.8213588551879457,False,1e-24,False
HNHN,random,0,1,restart,649039.9906754434,61925.6557683445,2351.1824284948107,76501.46187842647,77416.67416321918,8.484020759065698,0.8094702277291727,0.03037049129154998,0.8800820186592667,0.9202386897787769,0.7857333284611197,0.926616544070088,0.9387045138617723,0.9497801699002459,0.9931170511339061,0.8370401088502935,False,1e-24,False
HNHN,random,0,2,base,569133.4317377129,56745.88591293354,1899.514355670621,70616.39481266486,72532.2307703792,8.059508464677954,0.8035794812730417,0.026188555563444037,0.7717307202734025,0.8432653486658417,0.6347919749027038,0.8553342394944871,0.8794789127865512,0.9022563164658353,0.9858898541980756,0.7217819161705897,False,1e-24,False
HNHN,random,0,2,restart,589797.995883739,58090.75416824561,2014.603731365675,72144.92503282793,73801.0313147092,8.175183432727454,0.8051952946352459,0.02729777207007874,0.7997513531922187,0.8632506001070721,0.6732532857475959,0.8738484136728187,0.8948635674623872,0.9152060479584017,0.9878722517545079,0.752352995727356,False,1e-24,False
HNHN,random,0,3,base,512803.30537709297,52900.975494782506,1641.5118645850619,66222.6323436598,68873.62145762914,7.743626117366037,0.7988352867076459,0.023833680149880247,0.6953484756798234,0.7861285241685423,0.5485710361890305,0.8021152173408405,0.8351169828346847,0.866893509370177,0.9800693306563899,0.6568792725624917,False,1e-24,False
HNHN,random,0,3,restart,546496.3588836942,55168.50196970017,1806.254355703792,68809.64810226823,71026.3599401429,7.942147270851681,0.801755327795109,0.025430760596854517,0.7410354148066796,0.8198248260716315,0.6036257458180762,0.8334501950371634,0.861219697172931,0.8891178131809507,0.9836518498085847,0.7008963540889259,False,1e-24,False
HNHN,random,0,4,base,466082.53094902396,49596.38916876757,1453.1136723309683,62429.44167480286,65691.27386027035,7.465748826921504,0.7944390953729314,0.022120345472700628,0.6319962723291664,0.7370211202471556,0.48561091158031017,0.7561705629215462,0.7965298943733577,0.835785341718912,0.9746757628326542,0.6096581120314986,False,1e-24,False
HNHN,random,0,4,restart,513360.3048282788,52862.30018384053,1663.8076084299357,66167.50823470851,68816.24754333583,7.758495348008178,0.7989162897948051,0.024177540447583717,0.6961037530254944,0.7855537944054669,0.556021971858435,0.8014475319126514,0.8344213038623293,0.8685581093053537,0.9801687111453771,0.6663563948867884,False,1e-24,False
HNHN,random,0,5,base,426335.4698170826,46698.01204415423,1306.3702040307626,59088.940156603756,62862.549203809,7.215148362572813,0.790300383123986,0.020781374929536047,0.5781002500511423,0.693950138849452,0.4365712316388165,0.7157090619743671,0.7622306089520536,0.8077307956062275,0.969598089110552,0.5727547890513514,False,1e-24,False
HNHN,random,0,5,restart,487306.86014794046,51002.72387319134,1560.3722430766582,64030.03346097774,67016.3572987341,7.6105982428530705,0.7965437641739525,0.0232834535622564,0.6607759326804988,0.7579197863933913,0.5214552734539849,0.7755575758354861,0.8125969990168218,0.8520011321772777,0.9772579238580784,0.6417144957277774,False,1e-24,False
HNHN,random,0,6,base,391963.6802497806,44121.056823739185,1187.245633597504,56107.39740708254,60312.23222212516,6.985953695301901,0.7863679098073743,0.019684989095163526,0.5314929617762826,0.655655608638509,0.3967614133560443,0.6795954143299725,0.7313071149068606,0.7820726134538338,0.9647734443366335,0.5425373352296401,False,1e-24,False
HNHN,random,0,6,restart,466451.1644869097,49481.21873730796,1482.2957343014157,62275.950798200436,65528.90661726469,7.490068935252428,0.7945477845476395,0.022620486298650985,0.6324961302005286,0.7353096440321256,0.4953631615144326,0.7543114195518462,0.7945611342120602,0.8385079607787316,0.9748091106309779,0.6234424768405867,False,1e-24,False
HNHN,random,0,7,base,361892.4359664171,41807.00321104628,1087.7878846217004,53420.0217479044,57989.56960383782,6.774471895092661,0.7826092510470817,0.018758336922537002,0.49071710550746206,0.6212678958528993,0.36352398048103035,0.6470448370627955,0.7031440104137954,0.7583973743381222,0.9601620479240537,0.5169979052613973,False,1e-24,False
HNHN,random,0,7,restart,449539.24189628806,48222.98792462471,1421.7708301767784,60821.40380105743,64286.73926433297,7.391135583892466,0.7928621325867246,0.022116082514790004,0.6095639855148458,0.7166118577893063,0.4751365581695419,0.736693359993428,0.7794994163874173,0.8274324415253094,0.9727410299934006,0.6095406207891186,False,1e-24,False
HNHN,random,0,8,base,335348.60730114253,39712.97658657991,1003.0574787691385,50979.296320871894,55857.96573217376,6.5781333110289415,0.7790020548071133,0.017957286228047955,0.4547243367254191,0.5901498674145819,0.3352082262436972,0.6174817868322661,0.6772975606957715,0.7364174076424079,0.9557364767665468,0.49492017348969325,False,1e-24,False
HNHN,random,0,8,restart,435690.09318357887,47173.95139178606,1373.9386831213992,59605.57121239914,63241.215551135916,7.309553189768723,0.7914352707683295,0.0217253680396205,0.5907848857199174,0.7010227777459588,0.4591517023549614,0.7219667055765399,0.7668220721390915,0.8182993497575978,0.9709904519573989,0.598772152024958,False,1e-24,False
HNHN,random,0,9,base,311750.23018595984,37806.22410115552,929.767649317136,48748.893926991295,53889.76394726423,6.395021611215468,0.7755298850016157,0.017253140136724177,0.4227255266875365,0.5618148035844411,0.310715757713922,0.5904662539606502,0.6534324189849545,0.7159181813558947,0.9514765658765003,0.47551322628985815,False,1e-24,False
HNHN,random,0,9,restart,424260.9807071922,46293.65772396517,1335.5840387202961,58582.82700193337,62355.7810759099,7.242070798208331,0.7902257383795658,0.021418768487470305,0.5752872946250537,0.6879412805628453,0.44633409958539905,0.7095788154303944,0.756085866436543,0.8107447433814858,0.9695065094996882,0.5903219718799745,False,1e-24,False
HNHN,random,0,10,base,290644.98787609214,36060.949281436915,865.614439079855,46700.18300377508,52063.330601740236,6.223637021991914,0.7721800421750354,0.01662618255642142,0.3941073451837568,0.5358793590021531,0.2892766235998266,0.5656514414216941,0.631286269667091,0.6967317968698485,0.947366734636594,0.4582336690965522,False,1e-24,False
HNHN,random,0,10,restart,414769.79850949545,45551.07692135649,1304.4792118470427,57718.0759621355,61602.212514650535,7.186133487567998,0.7891995040035488,0.02117584999949158,0.562417488591501,0.6769062486948937,0.43593928765837453,0.6991046022545481,0.7469485815091756,0.8044826007120484,0.9682474503986002,0.5836269034443831,False,1e-24,False
HNHN,random,0,11,base,271672.8649101095,34456.35787177248,808.9163636674529,44810.06799200614,50361.29552484654,6.062763952033601,0.7689423251470918,0.016062262799978234,0.3683816202391697,0.5120345231560272,0.27032889458857917,0.5427576064923223,0.6106484932875128,0.6787221695885726,0.9433944674956298,0.4426914952876166,False,1e-24,False
HNHN,random,0,11,restart,406847.11787964165,44921.937886557935,1279.0251167702254,56983.79576430223,60958.26767147024,7.139698442737171,0.7883282832257288,0.020981979403736178,0.5516745315132197,0.6675570044456683,0.42743287377688033,0.6902107045094745,0.73914052287704,0.7992842300313046,0.967178573273641,0.5782836423487312,False,1e-24,False
HNHN,random,0,12,base,254541.98479101193,32975.38030319487,758.406410750707,43059.57650367009,48769.424446688645,5.911390809180777,0.7658082819366393,0.015550858337066174,0.3451525746129743,0.49002663578866734,0.253449152317327,0.5215549479611202,0.591346494296929,0.661776052479717,0.9395493949473505,0.42859669375170806,False,1e-24,False
HNHN,random,0,12,restart,400205.0058170141,44386.95996815819,1258.0414092675846,56358.0684793326,60406.134553386226,7.101112877276404,0.7875883820332771,0.02082638491221024,0.5426679934320223,0.6596070300355399,0.42042040288577237,0.6826316434027688,0.7324457138349296,0.7949646030572824,0.9662708085835925,0.5739953076993799,False,1e-24,False
