family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
HNHN,random,0,0,base,6143.810373196904,1673.5489874254963,782.5877734097216,4096.000000000001,4108.311335608656,1.499953704393775,0.4085812957581777,0.19048891612148944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,random,0,0,restart,6143.810373196904,1673.5489874254963,782.5877734097216,4096.000000000001,4108.311335608656,1.499953704393775,0.4085812957581777,0.19048891612148944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,random,0,1,base,3029.3663693357307,885.8062817543207,361.7010979153928,2789.3250600809215,2803.078622409664,1.086057129981059,0.3175701155922725,0.1290370862321574,0.49307615068194455,0.529298089515145,0.4621859811832572,0.6809875634963186,0.6822945958632859,0.7240604338651923,0.7772507427266789,0.6773994459071861,False,1e-24,False
HNHN,random,0,1,restart,3277.2313905304222,949.0413496195744,394.87985620763436,2896.7924626930107,2910.2070387037234,1.1313310955952072,0.3276179988183536,0.13568789125859698,0.5334200099709668,0.5670831010925661,0.5045821946427166,0.7072247223371607,0.7083706177473936,0.7542440091859027,0.8018428699982807,0.7123138396779914,False,1e-24,False
HNHN,random,0,2,base,1736.0758887103584,546.0797103049546,194.26570853150264,2161.906572430008,2181.3485763732883,0.8030300249094432,0.25259172494727866,0.08905761813386512,0.2825731562751666,0.3263004037575358,0.24823504165557078,0.5278092217846698,0.5309599001094488,0.5353698734548596,0.6182165644136025,0.46752126027671986,False,1e-24,False
HNHN,random,0,2,restart,2119.186193891699,646.6306153007185,244.1287954092707,2346.8670938228993,2364.8854551773306,0.9029851752020938,0.2755292862568531,0.10323070611086521,0.3449302737494794,0.38638284278457996,0.31195068937201215,0.5729655990778562,0.5756344303022417,0.602008697039784,0.6743560929424616,0.5419250012689822,False,1e-24,False
HNHN,random,0,3,base,1140.596402821654,381.0638288857654,120.63987317452577,1812.7228429344195,1836.5192734739157,0.6292172061865049,0.21021626685572226,0.0656894130745093,0.18564967561460557,0.22769804275163458,0.15415507023435837,0.4425592878257859,0.44702534044972303,0.4194910845203792,0.5145029129775449,0.34484637957945075,False,1e-24,False
HNHN,random,0,3,restart,1579.5120530385536,499.94937817005217,176.38662382387034,2050.2815363829113,2071.8296153205324,0.7703878833270453,0.24384425714141603,0.08513568032793159,0.2570899746400639,0.2987360285994073,0.22538893376184094,0.5005570157184841,0.5043019980893405,0.5136077740735386,0.596807195221529,0.44693246232570305,False,1e-24,False
HNHN,random,0,4,base,831.466085831274,289.8309120742051,84.04498380011351,1590.0198091568484,1616.391300023695,0.5229281302301395,0.18228132153139393,0.051995444295500404,0.13533394348540487,0.17318340499853932,0.10739368369369093,0.3881884299699336,0.39344420808950764,0.3486295134965432,0.4461323203578038,0.27295784633652337,False,1e-24,False
HNHN,random,0,4,restart,1293.7718673574068,418.9483793117602,141.63923537283475,1868.6665642172568,1892.4648816258284,0.6923503058981201,0.2241964336142807,0.07484378534472545,0.21058134753013194,0.25033529490896433,0.18098830595795665,0.4562174229046036,0.4606430056122938,0.46158111671716034,0.5487192780037912,0.39290362331103723,False,1e-24,False
HNHN,random,0,5,base,650.5766912767145,233.0395001328127,63.38212609344855,1432.2784410379925,1459.9368915015712,0.454225011447657,0.16270544431564973,0.043414291715211675,0.10589140155023859,0.13924868759970327,0.0809904374269658,0.3496773537690411,0.3553617952095342,0.3028260206412422,0.39822049125799514,0.22790980493333818,False,1e-24,False
HNHN,random,0,5,restart,1126.5594347741314,369.5970268328892,121.83838430666933,1747.1929072974283,1772.3493192322248,0.6447825137504148,0.21153761859334969,0.06874400152643118,0.18336494233104583,0.22084625523956647,0.15568654206776264,0.4265607683831611,0.431405795337477,0.42986827650858184,0.5177369125544846,0.3608818976248877,False,1e-24,False
HNHN,random,0,6,base,533.2567633224332,194.2239123136394,50.33394880049081,1312.2254229910113,1340.3624981473388,0.4063758817497671,0.14801108781365976,0.037552489621324715,0.0867957718305937,0.1160551102913478,0.06431732070280967,0.3203675349099148,0.32625631035549574,0.270925616276943,0.36225615159158286,0.19713739983367118,False,1e-24,False
HNHN,random,0,6,restart,1021.2095186920333,337.3341143483548,109.63739218935585,1660.979823415238,1686.9295694987147,0.6148235543236549,0.2030934449611449,0.06499227600944568,0.16621761686317338,0.2015681147567079,0.14009596867539548,0.4055126522009857,0.4106138585158596,0.4098950204414099,0.4970698538323386,0.3411866544927743,False,1e-24,False
HNHN,random,0,7,base,450.9094811328661,165.8585295577791,41.35899004760685,1216.4263121012145,1244.5611025830735,0.3706837616443695,0.13634901506798267,0.03323178746448583,0.07339248019437772,0.09910587069992348,0.05284901125838758,0.2969790801028355,0.3029373873873385,0.24713013512252766,0.33371330622212814,0.17445522889789222,False,1e-24,False
HNHN,random,0,7,restart,951.1117991133941,315.1442377940153,101.67063417486891,1597.2429749730743,1623.6350931654636,0.5954709546488552,0.19730513311497136,0.06261914059559423,0.15480813067778448,0.1883089411555364,0.1299159501711759,0.3899518981867856,0.3952074126156552,0.39699288911688263,0.48290299914205587,0.32872852589311385,False,1e-24,False
HNHN,random,0,8,base,389.7033138023166,144.1473858669132,34.80191540096981,1137.5043971181572,1165.358503838447,0.3425949954915528,0.12672248672805791,0.029863698841463455,0.06343023142485699,0.08613275556914668,0.04447030299149507,0.27771103445267503,0.2836587611405542,0.22840371305327511,0.31015244222794697,0.15677394490720434,False,1e-24,False
HNHN,random,0,8,restart,902.4849966659186,299.294153751528,96.23265136618251,1548.7206975256586,1575.3374487444435,0.5827293443600192,0.19325250461861887,0.061087008020332845,0.1468933677711011,0.17883799996314842,0.12296723081539912,0.37810563904435013,0.3834513307426964,0.38849822008042345,0.4729842178898884,0.32068536723350854,False,1e-24,False
HNHN,random,0,9,base,342.29790877177356,126.97936448234,29.806844420034945,1070.9949170897655,1098.4112072659686,0.31960740738331983,0.11856206080546432,0.027136325833952944,0.055714269806419886,0.07587430391128179,0.03808754165704255,0.2614733684301185,0.26736318587774127,0.21307818131126463,0.290179854135164,0.14245619318158134,False,1e-24,False
