family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
HNHN,real,,0,base,537.8210134601367,138.10400599443432,62.54674427132868,309.21454203686864,300.125220067752,1.7393134550444609,0.44662843178302963,0.20840216046225307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,real,,0,restart,537.8210134601367,138.10400599443432,62.54674427132868,309.21454203686864,300.125220067752,1.7393134550444609,0.44662843178302963,0.20840216046225307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
HNHN,real,,1,base,260.61719016719064,69.75252088688909,28.413679687468274,201.61432201880513,196.04373296056755,1.292652166560281,0.34597006893380855,0.14493541445256722,0.4845797833195069,0.5050723936979797,0.4542791158594814,0.6520208289387825,0.6532064613440733,0.7431967842318783,0.774626164197893,0.6954602300239526,False,1e-24,False
HNHN,real,,1,restart,282.80651283910555,75.2434118357865,31.116801700016634,210.43935806470262,204.5608015420935,1.343886027024244,0.3575538935670571,0.15211517292384866,0.525837603517266,0.5448314934384949,0.49749674523475595,0.6805610003930904,0.681584844805494,0.7726531541089534,0.8005623200915148,0.7299116889500796,False,1e-24,False
HNHN,real,,2,base,144.580561738914,40.51915804021548,14.69835374426747,151.11300683074072,147.54399086810017,0.956771126266162,0.26813812318353475,0.09962014486518364,0.2688265391653953,0.29339596450119215,0.2349979030164352,0.48869954768402524,0.49160810555938195,0.5500855084466099,0.6003606221687992,0.47801877218651667,False,1e-24,False
HNHN,real,,2,restart,179.0534822205858,49.17537637118466,18.778397518859805,166.02494650285638,161.86877791738414,1.078473361938444,0.29619269517631575,0.11601000366138596,0.33292392401818505,0.3560749452348722,0.3002298159181371,0.5369247688327048,0.5393374734747147,0.6200569304000904,0.6631747423554195,0.5566641123300559,False,1e-24,False
HNHN,real,,3,base,91.56125615681484,26.744294813146784,8.715955151971439,124.1114560258919,121.71151376915158,0.737734122929905,0.21548610957853434,0.07161159106526982,0.17024484701284615,0.19365328775636384,0.13935106061094882,0.40137651744429825,0.40553577517302847,0.4241524842979191,0.4824728885222799,0.3436221146001051,False,1e-24,False
HNHN,real,,3,restart,130.9758042677725,36.80143227569361,13.257035417776837,142.80696303131307,139.6260866677344,0.9171527878444807,0.2577005455092845,0.09494669466261242,0.24353047015609114,0.26647621124890997,0.21195404448659433,0.46183779744189957,0.4652261034118172,0.5273073609500918,0.5769909104991203,0.4555936198166702,False,1e-24,False
HNHN,real,,4,base,64.59033169807168,19.474663358609064,5.818220940741504,107.6493151165967,105.96620759459047,0.6000068985865153,0.18090838141901547,0.054906380749239175,0.1200963333182576,0.1410144710747486,0.09302196314970414,0.3481379446370324,0.35307331909883827,0.34496766344579205,0.40505343714190606,0.26346358707343687,False,1e-24,False
HNHN,real,,4,restart,105.85527036460654,30.165688524011102,10.463389994651214,129.05253122627943,126.45952056300841,0.8202494701866867,0.23374736037620902,0.08274102217110521,0.19682248873760777,0.2184273244414561,0.16728912298393786,0.41735595737567893,0.4213558611784131,0.47159381640367937,0.5233597857687721,0.39702574094039544,False,1e-24,False
