family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
UniGCN,real,,0,base,537.8210134601367,138.10400599443432,148.48859965475114,309.21454203686864,325.4063061250672,1.7393134550444609,0.44662843178302963,0.45631752323103647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
UniGCN,real,,0,restart,537.8210134601367,138.10400599443432,148.48859965475114,309.21454203686864,325.4063061250672,1.7393134550444609,0.44662843178302963,0.45631752323103647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
UniGCN,real,,1,base,88.67407757605372,23.920315924631396,25.27829302886199,116.60497525675929,119.70970810624101,0.7604656437754659,0.20513975387379363,0.2111632667788964,0.1648765581053784,0.1732050837511216,0.17023726459564043,0.37710055448445273,0.3678776528080915,0.4372217334201135,0.45930742262608515,0.4627551124570404,False,1e-24,False
UniGCN,real,,1,restart,112.8853433917718,30.158003133526595,31.949274928229922,128.0760328820954,131.88056335371763,0.8813931916183889,0.23546952895776788,0.24225916325924834,0.20989388768116415,0.21837167514707706,0.2151631505887641,0.4141979611904038,0.40527967919291163,0.5067477567439725,0.527215717140368,0.5309004167621917,False,1e-24,False
UniGCN,real,,2,base,31.67043189756275,8.453496180483802,9.082779754948358,77.51940532116318,79.40065216281023,0.40854843721197337,0.10905006488970001,0.11439175255543507,0.05888656468405202,0.06121108594651833,0.061168195915825244,0.250697799691194,0.24400465101095262,0.23489063229349302,0.24416283677765527,0.2506845490952531,False,1e-24,False
UniGCN,real,,2,restart,52.23052663586112,13.84447324026255,14.787848218415146,90.03745066312975,92.56635921191753,0.5800977954304682,0.15376349661499078,0.15975402235017658,0.09711507235433159,0.10024671725178262,0.09958911494079797,0.29118116525190557,0.28446393775890877,0.33352113372551334,0.3442761044144375,0.35009398985822443,False,1e-24,False
UniGCN,real,,3,base,17.703337763763642,4.55019560321128,5.006299832189052,61.46361307835613,63.02361545042106,0.28802956541449587,0.07403072119126024,0.07943530050457626,0.03291678331768235,0.03294760040048842,0.03371504508648565,0.19877335869613671,0.19367668746468134,0.16559957296894087,0.16575460925251637,0.17407900521137265,False,1e-24,False
UniGCN,real,,3,restart,35.85880800563635,9.285604849024791,10.029973563426994,74.8148200118259,77.07655957961505,0.47930086579060377,0.12411451163762774,0.13013001122691115,0.06667424125906565,0.067236317890728,0.06754709510863158,0.2419511693046619,0.23686252579872044,0.27556899787126166,0.27789209733499926,0.2851742582785397,False,1e-24,False
UniGCN,real,,4,base,11.955803808831694,2.9625590612975365,3.3137278993435144,51.96917348888164,53.361143920466674,0.2300556850570182,0.057006083845673454,0.06210001615187514,0.022230079356536446,0.021451651890655,0.022316379217315125,0.16806833581159708,0.16398312791134959,0.1322680994560221,0.12763648659377508,0.136089483726518,False,1e-24,False
UniGCN,real,,4,restart,29.315144614575917,7.440123194044464,8.094126156433633,66.4811615230939,68.65264073431777,0.4409541581849855,0.1119132551777085,0.11789970596699245,0.05450725033217535,0.053873333655102704,0.054510084782624244,0.2150001131420499,0.2109751392092927,0.2535219611543301,0.25057351304512454,0.25837207638265314,False,1e-24,False
UniGCN,real,,5,base,8.861979058910602,2.122960716227326,2.3996407828847994,45.400482330905255,46.691410453441705,0.1951957028632277,0.0467607524685299,0.0513936237860623,0.01647756193439893,0.01537218780107568,0.016160437827982568,0.14682518497300173,0.14348649541996353,0.11222571888759296,0.10469721392758553,0.11262689064001029,False,1e-24,False
UniGCN,real,,5,restart,26.04127994533588,6.518184227423715,7.116622616123877,61.184254801851296,63.31223345479436,0.4256206115392277,0.10653368662465902,0.11240517397329261,0.048419974849618,0.047197647747353556,0.047927063981144956,0.19786991387538333,0.19456363402638185,0.2447060995847628,0.23852867180746942,0.2463310485588807,False,1e-24,False
UniGCN,real,,6,base,6.940644651359398,1.6081004299171495,1.8305969541735285,40.48370396511019,41.709418361515155,0.1714429257100835,0.03972216651181543,0.04388929469854706,0.012905119877533084,0.011644125876999955,0.012328198652487968,0.1309243210181337,0.12817642920996278,0.09856930917935146,0.08893783665593484,0.09618147992165892,False,1e-24,False
UniGCN,real,,6,restart,24.152487863278818,5.992444795333742,6.551930235137172,57.532006990028194,59.63033388482288,0.4198095829937773,0.10415845211818162,0.10987579321276902,0.04490804051684567,0.04339081080367242,0.044124129733669644,0.18605854243157965,0.18324885769701235,0.24136510976570694,0.23321052737811682,0.24078802066327443,False,1e-24,False
UniGCN,real,,7,base,5.637937473205529,1.2621805633832,1.4443455251679174,36.62996049231534,37.80934650677628,0.15391601294214666,0.034457601002545295,0.03820075348059925,0.010482925233681694,0.009139347945012302,0.00972697923292526,0.11846131249528308,0.11619119173506297,0.08849239479850525,0.07715048696067935,0.08371528932334682,False,1e-24,False
UniGCN,real,,7,restart,22.955584793593307,5.665244226948967,6.195791753370481,54.886194315391315,56.95930546110781,0.41823968813877205,0.1032180186222222,0.10877576022413069,0.04268257323362241,0.04102157780403039,0.041725706672271365,0.17750198277818077,0.17504057047750013,0.24046251521010678,0.23110489901002343,0.23837734622577014,False,1e-24,False
UniGCN,real,,8,base,4.7014665699926965,1.0155631978131625,1.1669735372250305,33.51665136221095,34.65948923937144,0.14027256241038039,0.03030025842492668,0.033669669196954216,0.008741693709111962,0.0073536114358195405,0.007859010994368221,0.10839286904629036,0.10651142460051266,0.0806482362357133,0.0678422067846465,0.07378561524122546,False,1e-24,False
UniGCN,real,,8,restart,22.1477121578955,5.449022798958011,5.957484322697876,52.90550950953256,54.95542589714861,0.41862770745842465,0.10299537514096148,0.10840575294325913,0.04118045149520193,0.03945593583416842,0.04012081962217667,0.17109644702034896,0.16888248587299026,0.24068560284191187,0.23060640078327174,0.23756649136696117,False,1e-24,False
